mix compile
-------------------------------------------------------------------
server2-0045 role=LEADER    term=243 !inf "Become leader"
server3-0017 role=LEADER    term=245 !inf "Become leader"
server2-0046 role=LEADER    term=247 !inf "Become leader"
server4-0025 role=LEADER    term=249 !inf "Become leader"
server5-0014 role=LEADER    term=251 !inf "Become leader"
server5-0015 role=LEADER    term=253 !inf "Become leader"
server3-0018 role=LEADER    term=256 !inf "Become leader"
server2-0047 role=LEADER    term=258 !inf "Become leader"
server5-0016 role=LEADER    term=260 !inf "Become leader"
server5-0017 role=LEADER    term=262 !inf "Become leader"
  time = 3500 client requests seen = [{1, 1}, {2, 108}]
  time = 3500      db updates done = [{1, 102}, {2, 102}, {3, 102}, {4, 102}, {5, 102}]

server5-0018 role=LEADER    term=264 !inf "Become leader"
server2-0048 role=LEADER    term=270 !inf "Become leader"
server2-0049 role=LEADER    term=275 !inf "Become leader"
server5-0019 role=LEADER    term=278 !inf "Become leader"
server2-0050 role=LEADER    term=281 !inf "Become leader"
server2-0051 role=LEADER    term=285 !inf "Become leader"
  time = 4000 client requests seen = [{1, 1}, {2, 171}]
  time = 4000      db updates done = [{1, 160}, {2, 160}, {3, 160}, {4, 160}, {5, 160}]

server3-0019 role=LEADER    term=287 !inf "Become leader"
server2-0052 role=LEADER    term=289 !inf "Become leader"
server3-0020 role=LEADER    term=292 !inf "Become leader"
server1-0009 role=LEADER    term=294 !inf "Become leader"
server2-0053 role=LEADER    term=296 !inf "Become leader"
server4-0026 role=LEADER    term=298 !inf "Become leader"
server2-0054 role=LEADER    term=300 !inf "Become leader"
server5-0020 role=LEADER    term=302 !inf "Become leader"
server2-0055 role=LEADER    term=308 !inf "Become leader"
server5-0021 role=LEADER    term=310 !inf "Become leader"
server1-0010 role=LEADER    term=312 !inf "Become leader"
server2-0056 role=LEADER    term=314 !inf "Become leader"
server5-0022 role=LEADER    term=315 !inf "Become leader"
server2-0057 role=LEADER    term=316 !inf "Become leader"
  time = 4500 client requests seen = [{1, 19}, {2, 176}, {3, 3}]
  time = 4500      db updates done = [{1, 182}, {2, 182}, {3, 181}, {4, 182}, {5, 182}]

server3-0021 role=LEADER    term=318 !inf "Become leader"
server2-0058 role=LEADER    term=322 !inf "Become leader"
server4-0027 role=LEADER    term=323 !inf "Become leader"
server3-0022 role=LEADER    term=324 !inf "Become leader"
server2-0059 role=LEADER    term=325 !inf "Become leader"
server5-0023 role=LEADER    term=327 !inf "Become leader"
server4-0028 role=LEADER    term=328 !inf "Become leader"
server2-0060 role=LEADER    term=329 !inf "Become leader"
server2-0061 role=LEADER    term=330 !inf "Become leader"
server2-0062 role=LEADER    term=332 !inf "Become leader"
server2-0063 role=LEADER    term=336 !inf "Become leader"
server3-0023 role=LEADER    term=338 !inf "Become leader"
server2-0064 role=LEADER    term=340 !inf "Become leader"
server1-0011 role=LEADER    term=341 !inf "Become leader"
server5-0024 role=LEADER    term=345 !inf "Become leader"
  time = 5000 client requests seen = [{1, 19}, {2, 213}, {3, 3}]
  time = 5000      db updates done = [{1, 215}, {2, 215}, {3, 215}, {4, 212}, {5, 215}]

server2-0065 role=LEADER    term=347 !inf "Become leader"
server5-0025 role=LEADER    term=348 !inf "Become leader"
server5-0026 role=LEADER    term=349 !inf "Become leader"
  time = 5500 client requests seen = [{1, 19}, {2, 214}, {3, 3}, {5, 119}]
  time = 5500      db updates done = [{1, 329}, {2, 329}, {3, 329}, {4, 329}, {5, 334}]

server1-0012 role=LEADER    term=351 !inf "Become leader"
